# n      slip         x1         x2        x3 length width strike dip    rake
090 9.000e+00 -3.884e+01 -7.904e+00 3.335e+01     20    16    315  12  90.000
091 1.000e+01 -2.479e+01 -2.212e+01 3.335e+01     20    16    315  12  99.333
092 1.000e+01 -1.074e+01 -3.634e+01 3.335e+01     20    16    315  12 106.000
093 9.000e+00 3.301e+00 -5.055e+01 3.335e+01     20    16    315  12 107.333
094 8.000e+00 1.735e+01 -6.476e+01 3.335e+01     20    16    315  12 106.000
095 8.000e+00 3.139e+01 -7.895e+01 3.335e+01     20    16    315  12 110.000
096 9.000e+00 4.543e+01 -9.315e+01 3.335e+01     20    16    315  12 108.667
097 1.100e+01 5.948e+01 -1.073e+02 3.335e+01     20    16    315  12 108.667
098 1.300e+01 7.352e+01 -1.215e+02 3.335e+01     20    16    315  12 108.667
099 1.400e+01 8.757e+01 -1.357e+02 3.335e+01     20    16    315  12 108.667
100 1.400e+01 1.016e+02 -1.499e+02 3.335e+01     20    16    315  12 110.000
101 1.100e+01 1.157e+02 -1.641e+02 3.335e+01     20    16    315  12 107.333
102 6.000e+00 1.297e+02 -1.783e+02 3.335e+01     20    16    315  12 108.667
103 2.000e+00 -5.588e+01 3.161e+01 3.667e+01     20    16    315  12 104.667
104 4.000e+00 -4.184e+01 1.738e+01 3.667e+01     20    16    315  12  87.333
105 7.000e+00 -2.779e+01 3.159e+00 3.667e+01     20    16    315  12  90.000
106 8.000e+00 -1.374e+01 -1.106e+01 3.667e+01     20    16    315  12  99.333
107 8.000e+00 3.038e-01 -2.527e+01 3.667e+01     20    16    315  12 106.000
108 8.000e+00 1.435e+01 -3.948e+01 3.667e+01     20    16    315  12 108.667
109 8.000e+00 2.839e+01 -5.369e+01 3.667e+01     20    16    315  12 108.667
110 9.000e+00 4.243e+01 -6.790e+01 3.667e+01     20    16    315  12 110.000
111 1.100e+01 5.648e+01 -8.210e+01 3.667e+01     20    16    315  12 108.667
112 1.300e+01 7.052e+01 -9.630e+01 3.667e+01     20    16    315  12 110.000
113 1.500e+01 8.456e+01 -1.105e+02 3.667e+01     20    16    315  12 110.000
114 1.600e+01 9.860e+01 -1.247e+02 3.667e+01     20    16    315  12 110.000
115 1.600e+01 1.126e+02 -1.389e+02 3.667e+01     20    16    315  12 108.667
116 1.300e+01 1.267e+02 -1.530e+02 3.667e+01     20    16    315  12 110.000
117 7.000e+00 1.407e+02 -1.672e+02 3.667e+01     20    16    315  12 107.333
118 1.000e+00 -4.483e+01 4.268e+01 4.000e+01     20    16    315  12 106.000
119 2.000e+00 -3.078e+01 2.846e+01 4.000e+01     20    16    315  12  91.333
120 4.000e+00 -1.673e+01 1.423e+01 4.000e+01     20    16    315  12  91.333
121 5.000e+00 -2.689e+00 7.770e-03 4.000e+01     20    16    315  12 104.667
122 6.000e+00 1.135e+01 -1.421e+01 4.000e+01     20    16    315  12 104.667
123 6.000e+00 2.540e+01 -2.843e+01 4.000e+01     20    16    315  12 106.000
124 7.000e+00 3.944e+01 -4.264e+01 4.000e+01     20    16    315  12 108.667
125 9.000e+00 5.348e+01 -5.684e+01 4.000e+01     20    16    315  12 107.333
126 1.100e+01 6.752e+01 -7.104e+01 4.000e+01     20    16    315  12 107.333
127 1.300e+01 8.156e+01 -8.524e+01 4.000e+01     20    16    315  12 110.000
128 1.500e+01 9.560e+01 -9.944e+01 4.000e+01     20    16    315  12 110.000
129 1.700e+01 1.096e+02 -1.136e+02 4.000e+01     20    16    315  12 110.000
130 1.700e+01 1.237e+02 -1.278e+02 4.000e+01     20    16    315  12 107.333
131 1.400e+01 1.377e+02 -1.420e+02 4.000e+01     20    16    315  12 107.333
132 8.000e+00 1.518e+02 -1.562e+02 4.000e+01     20    16    315  12 104.667
133 1.000e+00 -5.677e+00 2.529e+01 4.333e+01     20    16    315  12  79.333
134 2.000e+00 8.366e+00 1.108e+01 4.333e+01     20    16    315  12 100.667
135 3.000e+00 2.241e+01 -3.147e+00 4.333e+01     20    16    315  12 103.333
136 4.000e+00 3.645e+01 -1.737e+01 4.333e+01     20    16    315  12 104.667
137 5.000e+00 5.049e+01 -3.158e+01 4.333e+01     20    16    315  12 104.667
138 7.000e+00 6.453e+01 -4.579e+01 4.333e+01     20    16    315  12 107.333
139 9.000e+00 7.857e+01 -6.000e+01 4.333e+01     20    16    315  12 106.000
140 1.000e+01 9.261e+01 -7.419e+01 4.333e+01     20    16    315  12 108.667
141 1.200e+01 1.066e+02 -8.839e+01 4.333e+01     20    16    315  12 110.000
142 1.400e+01 1.207e+02 -1.026e+02 4.333e+01     20    16    315  12 108.667
143 1.400e+01 1.347e+02 -1.168e+02 4.333e+01     20    16    315  12 106.000
144 1.200e+01 1.488e+02 -1.309e+02 4.333e+01     20    16    315  12 104.667
145 7.000e+00 1.628e+02 -1.451e+02 4.333e+01     20    16    315  12 103.333
146 1.000e+00 3.347e+01 7.904e+00 4.665e+01     20    16    315  12  96.667
147 2.000e+00 4.750e+01 -6.317e+00 4.665e+01     20    16    315  12 100.667
148 3.000e+00 6.154e+01 -2.052e+01 4.665e+01     20    16    315  12 108.667
149 4.000e+00 7.558e+01 -3.474e+01 4.665e+01     20    16    315  12 110.000
150 5.000e+00 8.962e+01 -4.894e+01 4.665e+01     20    16    315  12 108.667
151 6.000e+00 1.037e+02 -6.315e+01 4.665e+01     20    16    315  12 108.667
152 7.000e+00 1.177e+02 -7.735e+01 4.665e+01     20    16    315  12 110.000
153 8.000e+00 1.317e+02 -9.153e+01 4.665e+01     20    16    315  12 110.000
154 8.000e+00 1.458e+02 -1.057e+02 4.665e+01     20    16    315  12 106.000
155 7.000e+00 1.598e+02 -1.199e+02 4.665e+01     20    16    315  12  99.333
156 5.000e+00 1.738e+02 -1.341e+02 4.665e+01     20    16    315  12  98.000
157 1.000e+00 5.856e+01 4.741e+00 4.998e+01     20    16    315  12 110.000
158 1.000e+00 7.260e+01 -9.478e+00 4.998e+01     20    16    315  12 106.000
159 2.000e+00 8.664e+01 -2.369e+01 4.998e+01     20    16    315  12 102.000
160 2.000e+00 1.007e+02 -3.789e+01 4.998e+01     20    16    315  12 108.667
161 2.000e+00 1.147e+02 -5.210e+01 4.998e+01     20    16    315  12 108.667
162 2.000e+00 1.287e+02 -6.630e+01 4.998e+01     20    16    315  12 108.667
163 2.000e+00 1.428e+02 -8.050e+01 4.998e+01     20    16    315  12 108.667
164 2.000e+00 1.568e+02 -9.469e+01 4.998e+01     20    16    315  12 104.667
165 2.000e+00 1.708e+02 -1.089e+02 4.998e+01     20    16    315  12 100.667
166 2.000e+00 1.849e+02 -1.230e+02 4.998e+01     20    16    315  12  96.667
167 1.000e+00 9.295e+01 -2.883e+02 7.074e+00     20    16    342  15  80.667
168 1.000e+00 1.119e+02 -2.945e+02 7.074e+00     20    16    342  15  79.333
169 1.000e+00 3.579e+02 -3.747e+02 7.074e+00     20    16    342  15  88.667
170 2.000e+00 3.768e+02 -3.808e+02 7.074e+00     20    16    342  15  91.333
171 2.000e+00 3.957e+02 -3.869e+02 7.074e+00     20    16    342  15  90.000
172 2.000e+00 4.147e+02 -3.931e+02 7.074e+00     20    16    342  15  98.000
173 3.000e+00 4.336e+02 -3.992e+02 7.074e+00     20    16    342  15  90.000
174 3.000e+00 4.525e+02 -4.053e+02 7.074e+00     20    16    342  15  96.667
175 3.000e+00 4.715e+02 -4.114e+02 7.074e+00     20    16    342  15  99.333
176 3.000e+00 4.904e+02 -4.175e+02 7.074e+00     20    16    342  15  99.333
177 3.000e+00 5.094e+02 -4.236e+02 7.074e+00     20    16    342  15  98.000
178 3.000e+00 5.283e+02 -4.297e+02 7.074e+00     20    16    342  15  92.667
179 2.000e+00 5.472e+02 -4.358e+02 7.074e+00     20    16    342  15  92.667
180 2.000e+00 5.662e+02 -4.419e+02 7.074e+00     20    16    342  15  92.667
181 3.000e+00 5.851e+02 -4.480e+02 7.074e+00     20    16    342  15  86.000
182 3.000e+00 6.041e+02 -4.541e+02 7.074e+00     20    16    342  15  86.000
183 3.000e+00 6.230e+02 -4.601e+02 7.074e+00     20    16    342  15  71.333
184 3.000e+00 6.420e+02 -4.662e+02 7.074e+00     20    16    342  15  70.000
185 2.000e+00 6.609e+02 -4.722e+02 7.074e+00     20    16    342  15  84.667
186 1.000e+00 6.799e+02 -4.783e+02 7.074e+00     20    16    342  15  90.000
187 1.000e-01 5.987e+01 -2.612e+02 1.121e+01     20    16    342  15  71.333
188 1.000e+00 9.770e+01 -2.736e+02 1.121e+01     20    16    342  15  75.333
189 1.000e+00 1.166e+02 -2.798e+02 1.121e+01     20    16    342  15  78.000
190 1.000e+00 3.248e+02 -3.477e+02 1.121e+01     20    16    342  15  84.667
191 2.000e+00 3.437e+02 -3.539e+02 1.121e+01     20    16    342  15  86.000
192 3.000e+00 3.626e+02 -3.600e+02 1.121e+01     20    16    342  15  90.000
193 4.000e+00 3.815e+02 -3.662e+02 1.121e+01     20    16    342  15  92.667
194 5.000e+00 4.005e+02 -3.723e+02 1.121e+01     20    16    342  15  99.333
195 6.000e+00 4.194e+02 -3.784e+02 1.121e+01     20    16    342  15  99.333
196 7.000e+00 4.383e+02 -3.846e+02 1.121e+01     20    16    342  15  96.667
197 7.000e+00 4.573e+02 -3.907e+02 1.121e+01     20    16    342  15 100.667
198 7.000e+00 4.762e+02 -3.968e+02 1.121e+01     20    16    342  15 100.667
199 6.000e+00 4.951e+02 -4.029e+02 1.121e+01     20    16    342  15  98.000
200 6.000e+00 5.141e+02 -4.090e+02 1.121e+01     20    16    342  15  94.000
201 6.000e+00 5.330e+02 -4.151e+02 1.121e+01     20    16    342  15  91.333
202 5.000e+00 5.520e+02 -4.212e+02 1.121e+01     20    16    342  15  91.333
203 5.000e+00 5.709e+02 -4.273e+02 1.121e+01     20    16    342  15  90.000
204 6.000e+00 5.898e+02 -4.334e+02 1.121e+01     20    16    342  15  82.000
205 6.000e+00 6.088e+02 -4.395e+02 1.121e+01     20    16    342  15  80.667
206 6.000e+00 6.277e+02 -4.455e+02 1.121e+01     20    16    342  15  75.333
207 6.000e+00 6.467e+02 -4.516e+02 1.121e+01     20    16    342  15  72.667
208 4.000e+00 6.656e+02 -4.577e+02 1.121e+01     20    16    342  15  75.333
209 2.000e+00 6.846e+02 -4.637e+02 1.121e+01     20    16    342  15  78.000
210 1.000e+00 1.781e+02 -2.836e+02 1.536e+01     20    16    342  15  87.333
211 1.000e+00 1.971e+02 -2.898e+02 1.536e+01     20    16    342  15  83.333
212 1.000e+00 2.160e+02 -2.960e+02 1.536e+01     20    16    342  15  80.667
213 1.000e+00 3.106e+02 -3.269e+02 1.536e+01     20    16    342  15  91.333
214 3.000e+00 3.295e+02 -3.330e+02 1.536e+01     20    16    342  15  90.000
215 5.000e+00 3.484e+02 -3.392e+02 1.536e+01     20    16    342  15  91.333
216 7.000e+00 3.674e+02 -3.454e+02 1.536e+01     20    16    342  15  92.667
217 8.000e+00 3.863e+02 -3.515e+02 1.536e+01     20    16    342  15  95.333
218 9.000e+00 4.052e+02 -3.577e+02 1.536e+01     20    16    342  15  99.333
219 1.000e+01 4.241e+02 -3.638e+02 1.536e+01     20    16    342  15  99.333
220 1.100e+01 4.431e+02 -3.699e+02 1.536e+01     20    16    342  15 100.667
221 1.100e+01 4.620e+02 -3.761e+02 1.536e+01     20    16    342  15 102.000
222 1.000e+01 4.809e+02 -3.822e+02 1.536e+01     20    16    342  15 102.000
223 9.000e+00 4.999e+02 -3.883e+02 1.536e+01     20    16    342  15  99.333
224 9.000e+00 5.188e+02 -3.944e+02 1.536e+01     20    16    342  15  95.333
225 9.000e+00 5.377e+02 -4.005e+02 1.536e+01     20    16    342  15  92.667
226 9.000e+00 5.567e+02 -4.066e+02 1.536e+01     20    16    342  15  91.333
227 9.000e+00 5.756e+02 -4.127e+02 1.536e+01     20    16    342  15  88.667
228 1.000e+01 5.946e+02 -4.188e+02 1.536e+01     20    16    342  15  82.000
229 1.000e+01 6.135e+02 -4.249e+02 1.536e+01     20    16    342  15  79.333
230 1.000e+01 6.324e+02 -4.310e+02 1.536e+01     20    16    342  15  75.333
231 9.000e+00 6.514e+02 -4.370e+02 1.536e+01     20    16    342  15  72.667
232 6.000e+00 6.703e+02 -4.431e+02 1.536e+01     20    16    342  15  76.667
233 3.000e+00 6.893e+02 -4.491e+02 1.536e+01     20    16    342  15  78.000
234 1.000e-01 6.939e+01 -2.318e+02 1.950e+01     20    16    342  15  71.333
235 1.000e-01 8.831e+01 -2.380e+02 1.950e+01     20    16    342  15  70.000
236 1.000e+00 1.640e+02 -2.628e+02 1.950e+01     20    16    342  15  87.333
237 2.000e+00 1.829e+02 -2.690e+02 1.950e+01     20    16    342  15  84.667
238 2.000e+00 2.018e+02 -2.751e+02 1.950e+01     20    16    342  15  80.667
239 2.000e+00 2.207e+02 -2.813e+02 1.950e+01     20    16    342  15  83.333
240 1.000e+00 2.397e+02 -2.875e+02 1.950e+01     20    16    342  15  91.333
241 1.000e+00 2.964e+02 -3.061e+02 1.950e+01     20    16    342  15  88.667
242 3.000e+00 3.153e+02 -3.122e+02 1.950e+01     20    16    342  15  92.667
243 5.000e+00 3.343e+02 -3.184e+02 1.950e+01     20    16    342  15  92.667
244 8.000e+00 3.532e+02 -3.245e+02 1.950e+01     20    16    342  15  95.333
245 1.000e+01 3.721e+02 -3.307e+02 1.950e+01     20    16    342  15  96.667
246 1.200e+01 3.910e+02 -3.369e+02 1.950e+01     20    16    342  15  98.000
247 1.300e+01 4.100e+02 -3.430e+02 1.950e+01     20    16    342  15  99.333
248 1.400e+01 4.289e+02 -3.491e+02 1.950e+01     20    16    342  15  99.333
249 1.400e+01 4.478e+02 -3.553e+02 1.950e+01     20    16    342  15 100.667
250 1.400e+01 4.667e+02 -3.614e+02 1.950e+01     20    16    342  15 102.000
251 1.300e+01 4.857e+02 -3.676e+02 1.950e+01     20    16    342  15 100.667
252 1.200e+01 5.046e+02 -3.737e+02 1.950e+01     20    16    342  15  99.333
253 1.200e+01 5.235e+02 -3.798e+02 1.950e+01     20    16    342  15  98.000
254 1.200e+01 5.425e+02 -3.859e+02 1.950e+01     20    16    342  15  95.333
255 1.200e+01 5.614e+02 -3.920e+02 1.950e+01     20    16    342  15  94.000
256 1.300e+01 5.803e+02 -3.981e+02 1.950e+01     20    16    342  15  91.333
257 1.400e+01 5.993e+02 -4.042e+02 1.950e+01     20    16    342  15  86.000
258 1.400e+01 6.182e+02 -4.103e+02 1.950e+01     20    16    342  15  80.667
259 1.300e+01 6.372e+02 -4.164e+02 1.950e+01     20    16    342  15  76.667
260 1.100e+01 6.561e+02 -4.225e+02 1.950e+01     20    16    342  15  72.667
261 8.000e+00 6.750e+02 -4.285e+02 1.950e+01     20    16    342  15  74.000
262 4.000e+00 6.940e+02 -4.346e+02 1.950e+01     20    16    342  15  75.333
263 1.000e-01 9.307e+01 -2.233e+02 2.364e+01     20    16    342  15  70.000
264 1.000e+00 1.498e+02 -2.419e+02 2.364e+01     20    16    342  15  76.667
265 2.000e+00 1.687e+02 -2.481e+02 2.364e+01     20    16    342  15  72.667
266 3.000e+00 1.877e+02 -2.543e+02 2.364e+01     20    16    342  15  75.333
267 3.000e+00 2.066e+02 -2.605e+02 2.364e+01     20    16    342  15  75.333
268 3.000e+00 2.255e+02 -2.667e+02 2.364e+01     20    16    342  15  71.333
269 2.000e+00 2.444e+02 -2.728e+02 2.364e+01     20    16    342  15  79.333
270 1.000e+00 2.633e+02 -2.790e+02 2.364e+01     20    16    342  15  83.333
271 1.000e+00 2.822e+02 -2.852e+02 2.364e+01     20    16    342  15  84.667
272 2.000e+00 3.012e+02 -2.914e+02 2.364e+01     20    16    342  15  90.000
273 5.000e+00 3.201e+02 -2.976e+02 2.364e+01     20    16    342  15  98.000
274 8.000e+00 3.390e+02 -3.037e+02 2.364e+01     20    16    342  15  99.333
275 1.100e+01 3.579e+02 -3.099e+02 2.364e+01     20    16    342  15  96.667
276 1.300e+01 3.769e+02 -3.161e+02 2.364e+01     20    16    342  15  99.333
277 1.400e+01 3.958e+02 -3.222e+02 2.364e+01     20    16    342  15 100.667
278 1.500e+01 4.147e+02 -3.284e+02 2.364e+01     20    16    342  15  98.000
279 1.600e+01 4.336e+02 -3.345e+02 2.364e+01     20    16    342  15 100.667
280 1.600e+01 4.525e+02 -3.407e+02 2.364e+01     20    16    342  15 100.667
281 1.500e+01 4.715e+02 -3.468e+02 2.364e+01     20    16    342  15 100.667
282 1.400e+01 4.904e+02 -3.529e+02 2.364e+01     20    16    342  15 100.667
283 1.300e+01 5.093e+02 -3.591e+02 2.364e+01     20    16    342  15 100.667
284 1.300e+01 5.283e+02 -3.652e+02 2.364e+01     20    16    342  15  99.333
285 1.300e+01 5.472e+02 -3.713e+02 2.364e+01     20    16    342  15  96.667
286 1.400e+01 5.661e+02 -3.774e+02 2.364e+01     20    16    342  15  94.000
287 1.500e+01 5.851e+02 -3.835e+02 2.364e+01     20    16    342  15  92.667
288 1.600e+01 6.040e+02 -3.896e+02 2.364e+01     20    16    342  15  87.333
289 1.600e+01 6.229e+02 -3.957e+02 2.364e+01     20    16    342  15  82.000
290 1.500e+01 6.419e+02 -4.018e+02 2.364e+01     20    16    342  15  76.667
291 1.300e+01 6.608e+02 -4.079e+02 2.364e+01     20    16    342  15  74.000
292 9.000e+00 6.798e+02 -4.140e+02 2.364e+01     20    16    342  15  75.333
293 4.000e+00 6.987e+02 -4.200e+02 2.364e+01     20    16    342  15  71.333
294 1.000e+00 1.357e+02 -2.210e+02 2.778e+01     20    16    342  15  90.000
295 2.000e+00 1.546e+02 -2.272e+02 2.778e+01     20    16    342  15  78.000
296 3.000e+00 1.735e+02 -2.334e+02 2.778e+01     20    16    342  15  75.333
297 4.000e+00 1.924e+02 -2.396e+02 2.778e+01     20    16    342  15  76.667
298 4.000e+00 2.113e+02 -2.458e+02 2.778e+01     20    16    342  15  72.667
299 4.000e+00 2.303e+02 -2.520e+02 2.778e+01     20    16    342  15  72.667
300 3.000e+00 2.492e+02 -2.582e+02 2.778e+01     20    16    342  15  74.000
301 2.000e+00 2.681e+02 -2.644e+02 2.778e+01     20    16    342  15  75.333
302 2.000e+00 2.870e+02 -2.705e+02 2.778e+01     20    16    342  15  82.000
303 4.000e+00 3.059e+02 -2.767e+02 2.778e+01     20    16    342  15  90.000
304 7.000e+00 3.248e+02 -2.829e+02 2.778e+01     20    16    342  15  95.333
305 1.000e+01 3.438e+02 -2.891e+02 2.778e+01     20    16    342  15  99.333
306 1.300e+01 3.627e+02 -2.952e+02 2.778e+01     20    16    342  15 100.667
307 1.500e+01 3.816e+02 -3.014e+02 2.778e+01     20    16    342  15 100.667
308 1.500e+01 4.005e+02 -3.076e+02 2.778e+01     20    16    342  15 103.333
309 1.600e+01 4.194e+02 -3.137e+02 2.778e+01     20    16    342  15 100.667
310 1.600e+01 4.384e+02 -3.199e+02 2.778e+01     20    16    342  15 102.000
311 1.600e+01 4.573e+02 -3.260e+02 2.778e+01     20    16    342  15 102.000
312 1.400e+01 4.762e+02 -3.322e+02 2.778e+01     20    16    342  15 102.000
313 1.300e+01 4.951e+02 -3.383e+02 2.778e+01     20    16    342  15 103.333
314 1.200e+01 5.141e+02 -3.444e+02 2.778e+01     20    16    342  15 103.333
315 1.200e+01 5.330e+02 -3.506e+02 2.778e+01     20    16    342  15 100.667
316 1.200e+01 5.519e+02 -3.567e+02 2.778e+01     20    16    342  15  98.000
317 1.300e+01 5.709e+02 -3.628e+02 2.778e+01     20    16    342  15  95.333
318 1.500e+01 5.898e+02 -3.689e+02 2.778e+01     20    16    342  15  94.000
319 1.600e+01 6.087e+02 -3.750e+02 2.778e+01     20    16    342  15  88.667
320 1.700e+01 6.277e+02 -3.811e+02 2.778e+01     20    16    342  15  84.667
321 1.600e+01 6.466e+02 -3.872e+02 2.778e+01     20    16    342  15  79.333
322 1.300e+01 6.655e+02 -3.933e+02 2.778e+01     20    16    342  15  76.667
323 9.000e+00 6.845e+02 -3.994e+02 2.778e+01     20    16    342  15  76.667
