# nb  slip      x1      x2      x3   length  width strike dip  rake
139 253.66  109.71 -229.88   27.08    20.00  20.00    326   8  86.9
140 443.72  126.21 -241.07   27.08    20.00  20.00    326   8 100.6
141 297.93  142.71 -252.27   27.08    20.00  20.00    326   8 112.6
142   5.72  159.22 -263.47   27.08    20.00  20.00    326   8  99.7
143 122.04  175.73 -274.66   27.08    20.00  20.00    326   8  95.6
144 344.57  192.23 -285.86   27.08    20.00  20.00    326   8 119.9
145 450.52  208.74 -297.05   27.08    20.00  20.00    326   8 118.4
146 351.08  225.25 -308.23   27.08    20.00  20.00    326   8 109.4
147 364.56  241.76 -319.42   27.08    20.00  20.00    326   8 137.9
148 456.15  258.28 -330.59   27.08    20.00  20.00    326   8 156.0
149 469.97  274.81 -341.77   27.08    20.00  20.00    326   8 132.8
150 359.35  291.33 -352.94   27.08    20.00  20.00    326   8  94.9
151  61.09  307.86 -364.11   27.08    20.00  20.00    326   8 157.3
152  76.29  324.39 -375.29   27.08    20.00  20.00    326   8 157.1
153   0.22   38.24 -157.41   29.87    20.00  20.00    326   8 153.8
154  85.43   54.74 -168.61   29.87    20.00  20.00    326   8 155.1
155   7.96   71.23 -179.81   29.87    20.00  20.00    326   8 150.1
156   2.61   87.72 -191.02   29.87    20.00  20.00    326   8  89.4
157   0.03  104.23 -202.22   29.87    20.00  20.00    326   8 140.0
158   6.71  120.73 -213.42   29.87    20.00  20.00    326   8  78.0
159  34.59  137.22 -224.61   29.87    20.00  20.00    326   8  79.1
160 116.85  153.72 -235.81   29.87    20.00  20.00    326   8 155.8
161   0.18  170.22 -247.02   29.87    20.00  20.00    326   8 114.9
162 209.66  186.73 -258.21   29.87    20.00  20.00    326   8 105.1
163 553.17  203.24 -269.40   29.87    20.00  20.00    326   8 104.6
164 668.87  219.75 -280.58   29.87    20.00  20.00    326   8 104.5
165 599.50  236.26 -291.77   29.87    20.00  20.00    326   8  95.0
166 444.02  252.77 -302.95   29.87    20.00  20.00    326   8 119.3
167 382.46  269.28 -314.13   29.87    20.00  20.00    326   8 129.2
168 423.76  285.80 -325.31   29.87    20.00  20.00    326   8 105.9
169 301.65  302.32 -336.49   29.87    20.00  20.00    326   8  78.1
170  43.86  318.85 -347.65   29.87    20.00  20.00    326   8 156.5
171  91.57  335.38 -358.82   29.87    20.00  20.00    326   8 157.6
172  72.09   49.26 -140.95   32.65    20.00  20.00    326   8  79.7
173  56.99   65.76 -152.15   32.65    20.00  20.00    326   8 157.2
174  18.47   82.25 -163.35   32.65    20.00  20.00    326   8 157.8
175   0.49   98.74 -174.56   32.65    20.00  20.00    326   8 143.5
176   3.15  115.24 -185.76   32.65    20.00  20.00    326   8  96.5
177   0.88  131.73 -196.97   32.65    20.00  20.00    326   8 129.7
178   0.04  148.24 -208.17   32.65    20.00  20.00    326   8  90.2
179   1.04  164.74 -219.36   32.65    20.00  20.00    326   8 150.1
180  85.87  181.24 -230.56   32.65    20.00  20.00    326   8 156.4
181  58.19  197.74 -241.75   32.65    20.00  20.00    326   8  78.0
182 443.51  214.24 -252.94   32.65    20.00  20.00    326   8  96.8
183 597.13  230.75 -264.12   32.65    20.00  20.00    326   8 102.2
184 500.02  247.25 -275.32   32.65    20.00  20.00    326   8 102.2
185 326.44  263.77 -286.50   32.65    20.00  20.00    326   8 103.2
186 274.03  280.29 -297.68   32.65    20.00  20.00    326   8  78.1
187 253.50  296.80 -308.85   32.65    20.00  20.00    326   8  78.1
188   3.63  313.32 -320.02   32.65    20.00  20.00    326   8 148.0
189   1.15  329.84 -331.19   32.65    20.00  20.00    326   8  79.7
190  98.22  346.36 -342.35   32.65    20.00  20.00    326   8 117.4
191  93.85   60.27 -124.49   35.43    20.00  20.00    326   8  78.1
192  45.76   76.77 -135.70   35.43    20.00  20.00    326   8  79.6
193   0.09   93.27 -146.91   35.43    20.00  20.00    326   8 150.5
194  89.52  109.76 -158.11   35.43    20.00  20.00    326   8  78.4
195 104.17  126.25 -169.31   35.43    20.00  20.00    326   8  78.3
196   1.98  142.75 -180.51   35.43    20.00  20.00    326   8  95.1
197   0.16  159.24 -191.71   35.43    20.00  20.00    326   8 149.3
198   0.81  175.74 -202.90   35.43    20.00  20.00    326   8 156.2
199   0.85  192.25 -214.10   35.43    20.00  20.00    326   8 153.9
200  70.96  208.75 -225.30   35.43    20.00  20.00    326   8 157.0
201   7.30  225.25 -236.49   35.43    20.00  20.00    326   8 154.0
202   4.13  241.75 -247.67   35.43    20.00  20.00    326   8  79.5
203   3.33  258.26 -258.86   35.43    20.00  20.00    326   8  91.5
204  54.88  274.77 -270.04   35.43    20.00  20.00    326   8  78.4
205 116.14  291.28 -281.22   35.43    20.00  20.00    326   8  78.3
206   0.22  307.80 -292.39   35.43    20.00  20.00    326   8 141.5
207   0.05  324.32 -303.56   35.43    20.00  20.00    326   8 100.0
208  69.88  340.83 -314.74   35.43    20.00  20.00    326   8  97.3
209  98.42  357.36 -325.90   35.43    20.00  20.00    326   8 114.3
210  89.77   71.29 -108.05   38.22    20.00  20.00    326   8  85.9
211  87.50   87.78 -119.25   38.22    20.00  20.00    326   8  79.0
212  73.08  104.27 -130.45   38.22    20.00  20.00    326   8 108.3
213 146.62  120.77 -141.66   38.22    20.00  20.00    326   8  78.8
214 187.70  137.27 -152.86   38.22    20.00  20.00    326   8  78.2
215 122.70  153.76 -164.06   38.22    20.00  20.00    326   8  78.8
216   5.57  170.26 -175.26   38.22    20.00  20.00    326   8  87.1
217   0.23  186.75 -186.46   38.22    20.00  20.00    326   8  78.2
218   1.40  203.25 -197.65   38.22    20.00  20.00    326   8  78.4
219   0.44  219.75 -208.84   38.22    20.00  20.00    326   8  85.0
220 134.15  236.26 -220.03   38.22    20.00  20.00    326   8 157.8
221  83.90  252.76 -231.22   38.22    20.00  20.00    326   8 157.5
222  64.84  269.27 -242.40   38.22    20.00  20.00    326   8 156.9
223 109.28  285.77 -253.58   38.22    20.00  20.00    326   8 157.7
224 133.62  302.28 -264.77   38.22    20.00  20.00    326   8 157.8
225  41.17  318.79 -275.94   38.22    20.00  20.00    326   8  78.5
226   8.69  335.30 -287.11   38.22    20.00  20.00    326   8 156.3
227 130.69  351.83 -298.28   38.22    20.00  20.00    326   8 157.1
228  97.28  368.35 -309.44   38.22    20.00  20.00    326   8  91.7
229  96.40   82.31  -91.59   41.00    20.00  20.00    326   8  98.0
230  99.99   98.80 -102.79   41.00    20.00  20.00    326   8  88.1
231  90.59  115.29 -114.00   41.00    20.00  20.00    326   8 130.4
232  99.62  131.78 -125.20   41.00    20.00  20.00    326   8  94.5
233  99.64  148.28 -136.41   41.00    20.00  20.00    326   8 126.8
234  99.36  164.77 -147.61   41.00    20.00  20.00    326   8  77.8
235  96.27  181.27 -158.81   41.00    20.00  20.00    326   8  78.4
236   0.67  197.77 -170.01   41.00    20.00  20.00    326   8 156.4
237   0.05  214.26 -181.20   41.00    20.00  20.00    326   8 139.2
238   0.80  230.76 -192.39   41.00    20.00  20.00    326   8  81.9
239  97.87  247.26 -203.58   41.00    20.00  20.00    326   8 157.5
240  96.72  263.76 -214.78   41.00    20.00  20.00    326   8 157.7
241  94.74  280.26 -225.96   41.00    20.00  20.00    326   8 157.7
242   1.07  296.78 -237.14   41.00    20.00  20.00    326   8 108.6
243  61.97  313.28 -248.32   41.00    20.00  20.00    326   8  78.4
244  83.46  329.79 -259.49   41.00    20.00  20.00    326   8 157.3
245  74.48  346.30 -270.66   41.00    20.00  20.00    326   8 157.6
246  94.63  362.82 -281.83   41.00    20.00  20.00    326   8 150.9
247  99.94  379.33 -293.00   41.00    20.00  20.00    326   8 136.4
